# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e-01
# Aref        : 4.475760e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.000         	9.161732e-03	4.097043e+00	-3.755859e+00	-1.868768e+00	-1.887091e+00
0.000         	9.158759e-03	4.097976e+00	-3.755732e+00	-1.868707e+00	-1.887025e+00
0.000         	9.153659e-03	4.095554e+00	-3.751247e+00	-1.866470e+00	-1.884777e+00
0.000         	9.148270e-03	4.095272e+00	-3.747600e+00	-1.864652e+00	-1.882948e+00
0.001         	9.143082e-03	4.095176e+00	-3.746055e+00	-1.863884e+00	-1.882171e+00
0.001         	9.137876e-03	4.095406e+00	-3.744798e+00	-1.863261e+00	-1.881537e+00
0.001         	9.132597e-03	4.094001e+00	-3.745511e+00	-1.863623e+00	-1.881888e+00
0.001         	9.126983e-03	4.092940e+00	-3.744526e+00	-1.863136e+00	-1.881390e+00
0.001         	9.121373e-03	4.094726e+00	-3.743494e+00	-1.862625e+00	-1.880868e+00
0.001         	9.115566e-03	4.093013e+00	-3.741490e+00	-1.861630e+00	-1.879861e+00
0.001         	9.109365e-03	4.093021e+00	-3.737903e+00	-1.859842e+00	-1.878061e+00
0.002         	9.102957e-03	4.091987e+00	-3.735600e+00	-1.858697e+00	-1.876903e+00
0.002         	9.096684e-03	4.093006e+00	-3.735900e+00	-1.858853e+00	-1.877047e+00
0.002         	9.090452e-03	4.090719e+00	-3.734565e+00	-1.858192e+00	-1.876373e+00
0.002         	9.084175e-03	4.090635e+00	-3.732840e+00	-1.857336e+00	-1.875504e+00
0.002         	9.077685e-03	4.090204e+00	-3.731494e+00	-1.856669e+00	-1.874825e+00
0.002         	9.070895e-03	4.091376e+00	-3.729326e+00	-1.855592e+00	-1.873734e+00
0.002         	9.063979e-03	4.087661e+00	-3.723701e+00	-1.852787e+00	-1.870915e+00
0.003         	9.057146e-03	4.087313e+00	-3.720180e+00	-1.851033e+00	-1.869147e+00
0.003         	9.050310e-03	4.086679e+00	-3.716698e+00	-1.849299e+00	-1.867399e+00
0.003         	9.043383e-03	4.086121e+00	-3.717265e+00	-1.849589e+00	-1.867676e+00
0.003         	9.036214e-03	4.084824e+00	-3.714423e+00	-1.848176e+00	-1.866248e+00
0.003         	9.028906e-03	4.083939e+00	-3.713235e+00	-1.847589e+00	-1.865646e+00
0.003         	9.021482e-03	4.083256e+00	-3.709051e+00	-1.845504e+00	-1.863547e+00
0.003         	9.013949e-03	4.083268e+00	-3.704323e+00	-1.843147e+00	-1.861175e+00
0.004         	9.006265e-03	4.082451e+00	-3.706368e+00	-1.844178e+00	-1.862190e+00
0.004         	8.998475e-03	4.080493e+00	-3.702028e+00	-1.842016e+00	-1.860013e+00
0.004         	8.990483e-03	4.080560e+00	-3.700087e+00	-1.841053e+00	-1.859034e+00
0.004         	8.982247e-03	4.081828e+00	-3.701542e+00	-1.841789e+00	-1.859753e+00
0.004         	8.973797e-03	4.081503e+00	-3.699526e+00	-1.840789e+00	-1.858737e+00
0.004         	8.965255e-03	4.081331e+00	-3.696197e+00	-1.839133e+00	-1.857064e+00
0.004         	8.956458e-03	4.078684e+00	-3.693557e+00	-1.837822e+00	-1.855735e+00
0.005         	8.947580e-03	4.077758e+00	-3.690816e+00	-1.836460e+00	-1.854355e+00
